experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
B,B-S4-IND-HUM,expert_led,INDUSTRIAL,S4,100,,0.4789636027143738,0.9579272054287477,0.0,0.0,,0.31906614785992216,39633,42603,70240,0.7247843483683226,55791,76976,38721,,,4046,11.52,not_applicable,[],[]
B,B-S4-POW-GEN,generic_tool_agent,POWER,S4,100,1,0.1714439042868868,0.3428878085737736,0.0,0.5910652920962199,0.0012919896640826872,0.9534883720930233,7182,19204,464,0.1632800916565575,9691,59352,5374,,,615,2.5074075622634577,pass,[],[]
B,B-S4-POW-DET,deterministic_program,POWER,S4,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0,18589,464,0.0,0,5535,11070,,,615,0.0009350474260376418,not_applicable,[],[]
B,B-S4-POW-FULL,full,POWER,S4,100,1,1.0,1.0,1.0,1.0,1.0,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12503653922765628,pass,[],[]
B,B-S4-POW-HUM,expert_led,POWER,S4,100,,0.41539894442719655,0.8307978888543931,0.0,0.0,,0.011627906976744186,8055,11799,6640,0.3788736744569134,3680,9713,8488,,,615,11.52,not_applicable,[],[]
B,B-B2-IND-DET,deterministic_program,INDUSTRIAL,B2,100,1,0.44916571471375866,0.8983314294275173,0.0,0.5489130434782609,0.0,0.38202247191011235,97508,109054,3774,0.9313223389471433,95834,102901,10264,,,4046,0.002115693740733497,not_applicable,[],[]
B,B-B2-IND-GEN,generic_tool_agent,INDUSTRIAL,B2,100,1,0.2838583989745154,0.5639993258300717,0.0037174721189591076,0.022058823529411763,0.3333333333333333,0.352059925093633,61458,108957,3774,0.5397951959108256,62518,115818,14010,,,4046,0.2964178141579199,pass,[],[]
B,B-B2-IND-FULL,full,INDUSTRIAL,B2,100,1,0.9850187265917603,1.0,0.9700374531835206,1.0,0.9700374531835206,1.0,108942,108961,3774,1.0,110435,110435,2716,,,4046,0.022318976015316114,pass,[],[]
B,B-B2-IND-HUM,expert_led,INDUSTRIAL,B2,100,,0.4785714285714286,0.9571428571428572,0.0,0.014492753623188406,0.0,0.30711610486891383,39548,42624,70112,0.7241033913077414,55664,76873,38815,,,4046,11.52,not_applicable,[],[]
B,B-B2-POW-GEN,generic_tool_agent,POWER,B2,100,1,0.1749642690898124,0.34351828176936844,0.00641025641025641,0.8248587570621468,0.0136986301369863,0.4626865671641791,7048,18119,461,0.17460531414803457,10363,59351,5484,,,615,1.6529572810975803,pass,[],[]
B,B-B2-POW-FULL,full,POWER,B2,100,1,0.9850746268656716,1.0,0.9701492537313433,1.0,0.9713930348258707,1.0,17848,17867,461,1.0,12390,12390,4562,,,615,0.10631407933656081,pass,[],[]
B,B-B2-POW-DET,deterministic_program,POWER,B2,100,1,0.43908207619534645,0.8781641523906929,0.0,0.8583509513742072,0.0,0.458955223880597,15393,18064,461,0.8847262247838616,10131,11451,5504,,,615,0.012807004878058938,not_applicable,[],[]
B,B-B2-POW-HUM,expert_led,POWER,B2,100,,0.41981869334166927,0.8396373866833385,0.0,0.014440433212996389,0.0,0.018656716417910446,8101,11821,6508,0.3855780080008206,3759,9749,8458,,,615,11.52,not_applicable,[],[]
C,C-25-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,25,1,0.29688313620471624,0.5937662724094325,0.0,0.06666666666666667,0.5,0.08771929824561403,16178,27351,958,0.925535624346209,23889,25811,2894,,,1014,1.3226159164615787,pass,[],[]
