experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
B,B-S4-IND-FULL,full,INDUSTRIAL,S4,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.02233177487025092,pass,[],[]
B,B-S4-IND-DET,deterministic_program,INDUSTRIAL,S4,100,1,0.0,0,113113,3775,0.0,0,36414,72828,,,4046,0.0001436482224406493,not_applicable,[],[]
B,B-S4-IND-HUM,expert_led,INDUSTRIAL,S4,100,,0.930286599535244,39633,42603,70240,0.7247843483683226,55791,76976,38721,,,4046,11.52,not_applicable,[],[]
B,B-S4-POW-GEN,generic_tool_agent,POWER,S4,100,1,0.3739845865444699,7182,19204,464,0.1632800916565575,9691,59352,5374,,,615,2.5074075622634577,pass,[],[]
B,B-S4-POW-DET,deterministic_program,POWER,S4,100,1,0.0,0,18589,464,0.0,0,5535,11070,,,615,0.0009350474260376418,not_applicable,[],[]
B,B-S4-POW-FULL,full,POWER,S4,100,1,1.0,17974,17974,464,1.0,12532,12532,4430,,,615,0.12503653922765628,pass,[],[]
B,B-S4-POW-HUM,expert_led,POWER,S4,100,,0.6826849733028223,8055,11799,6640,0.3788736744569134,3680,9713,8488,,,615,11.52,not_applicable,[],[]
B,B-B2-IND-DET,deterministic_program,INDUSTRIAL,B2,100,1,0.8941258459111999,97508,109054,3774,0.9313223389471433,95834,102901,10264,,,4046,0.002115693740733497,not_applicable,[],[]
B,B-B2-IND-GEN,generic_tool_agent,INDUSTRIAL,B2,100,1,0.5640573804344833,61458,108957,3774,0.5397951959108256,62518,115818,14010,,,4046,0.2964178141579199,pass,[],[]
B,B-B2-IND-FULL,full,INDUSTRIAL,B2,100,1,0.9998256256825837,108942,108961,3774,1.0,110435,110435,2716,,,4046,0.022318976015316114,pass,[],[]
B,B-B2-IND-HUM,expert_led,INDUSTRIAL,B2,100,,0.9278340840840841,39548,42624,70112,0.7241033913077414,55664,76873,38815,,,4046,11.52,not_applicable,[],[]
B,B-B2-POW-GEN,generic_tool_agent,POWER,B2,100,1,0.38898393951101057,7048,18119,461,0.17460531414803457,10363,59351,5484,,,615,1.6529572810975803,pass,[],[]
B,B-B2-POW-FULL,full,POWER,B2,100,1,0.9989365870039738,17848,17867,461,1.0,12390,12390,4562,,,615,0.10631407933656081,pass,[],[]
B,B-B2-POW-DET,deterministic_program,POWER,B2,100,1,0.8521368467670505,15393,18064,461,0.8847262247838616,10131,11451,5504,,,615,0.012807004878058938,not_applicable,[],[]
B,B-B2-POW-HUM,expert_led,POWER,B2,100,,0.6853058116910583,8101,11821,6508,0.3855780080008206,3759,9749,8458,,,615,11.52,not_applicable,[],[]
C,C-25-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,25,1,0.5914957405579321,16178,27351,958,0.925535624346209,23889,25811,2894,,,1014,1.3226159164615787,pass,[],[]
C,C-25-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,25,1,0.8966751918158568,24542,27370,958,0.9337771413089755,24126,25837,2526,,,1014,0.0009993178421733404,not_applicable,[],[]
C,C-25-IND-FULL-R1,full,INDUSTRIAL,B0,25,1,1.0,27349,27349,958,1.0,27751,27751,610,,,1014,0.05778533822286937,pass,[],[]
C,C-25-POW-FULL-R1,full,POWER,B0,25,1,1.0,4179,4179,112,1.0,2804,2804,1186,,,145,0.4155156520139105,pass,[],[]
C,C-25-POW-DET-R1,deterministic_program,POWER,B0,25,1,0.8574805010635783,3628,4231,112,0.8883720930232558,2292,2580,1410,,,145,0.0062908270139375635,not_applicable,[],[]
C,C-25-POW-GEN-R1,generic_tool_agent,POWER,B0,25,1,0.3614708603145236,1563,4324,112,0.13900301287318542,2030,14604,1410,,,145,8.005956987358614,pass,[],[]
C,C-50-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,50,1,0.6052564102564103,33047,54600,1892,0.8097090474292546,50789,62725,2420,,,2026,0.5285520504481828,pass,[],[]
C,C-50-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,50,1,0.8948321926582,48899,54646,1892,0.9317009809623512,48059,51582,5086,,,2026,0.0009021785745233102,not_applicable,[],[]
C,C-50-IND-FULL-R1,full,INDUSTRIAL,B0,50,1,1.0,54599,54599,1892,1.0,55362,55362,1302,,,2026,0.03097958833068611,pass,[],[]
C,C-50-POW-DET-R1,deterministic_program,POWER,B0,50,1,0.8564524986271279,7798,9105,232,0.8867892114756915,5162,5821,2674,,,308,0.0048627571689264315,not_applicable,[],[]
C,C-50-POW-FULL-R1,full,POWER,B0,50,1,1.0,9006,9006,232,1.0,6296,6296,2200,,,308,0.18730223769161022,pass,[],[]
C,C-50-POW-GEN-R1,generic_tool_agent,POWER,B0,50,1,0.342942676571682,3093,9019,232,0.11746242109301433,3368,28673,3640,,,308,3.7697238664773245,pass,[],[]
C,C-75-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,75,1,0.8942127503215138,73008,81645,2819,0.9311718820979402,71744,77047,7618,,,3027,0.0008178280340261489,not_applicable,[],[]
C,C-75-IND-FULL-R1,full,INDUSTRIAL,B0,75,1,1.0,81573,81573,2819,1.0,82679,82679,1980,,,3027,0.025152501348866967,pass,[],[]
C,C-75-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,75,1,0.6150942008555914,50180,81581,2819,0.8364472457150207,78033,93291,4146,,,3027,0.37618144553188626,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
C,C-75-POW-DET-R1,deterministic_program,POWER,B0,75,1,0.8546440187929165,11824,13835,359,0.8861029907803013,7881,8894,4070,,,470,0.0043222537233266346,not_applicable,[],[]
C,C-75-POW-FULL-R1,full,POWER,B0,75,1,1.0,13684,13684,359,1.0,9623,9623,3342,,,470,0.13463294175540177,pass,[],[]
C,C-75-POW-GEN-R1,generic_tool_agent,POWER,B0,75,1,0.41452714850773104,5764,13905,359,0.18759569510706756,8454,45065,3646,,,470,2.430110282004325,pass,[],[]
C,C-100-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,100,1,0.450600531768589,49147,109070,3775,0.434284852838153,48973,112767,11898,,,4046,0.28216062670958747,pass,[],[]
C,C-100-IND-FULL-R1,full,INDUSTRIAL,B0,100,1,1.0,109067,109067,3775,1.0,110573,110573,2588,,,4046,0.022750444904342547,pass,[],[]
C,C-100-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,100,1,0.8947190033435625,97672,109165,3775,0.9315462036434928,95980,103033,10138,,,4046,0.0021242766104723975,not_applicable,[],[]
