source_id,target,human_scope_decision,human_workbook_row,mapping_method,raw_base102_row,raw_base102_sequence,inventory_year,pseudonymous_entity_id,industry_code,target_equipment_value,enterprise_master_present,enterprise_control_row_count
SRC-RAW-2C6198E59A019129E4ED,INDUSTRIAL,include,1120,exact_semantic_signature_order,1458,21,2022,CREDIT-FDE049812AEC,3021,燃油锅炉,True,1
SRC-RAW-B823AEEDAE444485C25B,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1459,21,2022,CREDIT-FD7004646CC0,2924,燃生物质锅炉,True,1
SRC-RAW-4241EFC2BA77C49E27B8,INDUSTRIAL,not_selected_for_target,,absence_from_expert_target_workbook,1460,21,2022,CREDIT-AD07838E62C2,3031,燃生物质锅炉,True,3
SRC-RAW-16A75D53146530607FC2,INDUSTRIAL,include,1121,exact_semantic_signature_order,1461,21,2022,CREDIT-59F4934831AB,1329,燃气锅炉,True,3
SRC-RAW-D396E0E2AE57C916A380,INDUSTRIAL,include,1122,exact_semantic_signature_order,1462,22,2022,CREDIT-59F4934831AB,1329,燃气锅炉,True,3
SRC-RAW-2997501F88736884A405,INDUSTRIAL,include,1123,exact_semantic_signature_order,1463,21,2022,CREDIT-FC65562807B0,1819,燃油锅炉,True,0
SRC-RAW-82183BBCFEE793FDDADE,INDUSTRIAL,include,1124,exact_semantic_signature_order,1464,21,2022,CREDIT-19FF60AFDB67,2231,燃气锅炉,True,1
SRC-RAW-749A8E1E67F95C258D85,INDUSTRIAL,include,1125,exact_semantic_signature_order,1465,21,2022,CREDIT-810397F880A3,1529,燃气锅炉,True,0
SRC-RAW-45904374EAFBF604E294,INDUSTRIAL,include,1126,exact_semantic_signature_order,1466,21,2022,CREDIT-DB2CFAD1E0BA,2710,燃气锅炉,True,8
SRC-RAW-5B0A0BC8A8C79870539A,INDUSTRIAL,include,1127,exact_semantic_signature_order,1467,22,2022,CREDIT-DB2CFAD1E0BA,2710,燃气锅炉,True,8
SRC-RAW-3E12B6CC6565AF6ABFAB,INDUSTRIAL,include,1128,exact_semantic_signature_order,1468,21,2022,CREDIT-C1A3BCF9065D,2720,燃气锅炉,True,1
SRC-RAW-2C449838193BF0910BD1,INDUSTRIAL,include,1129,exact_semantic_signature_order,1469,22,2022,CREDIT-C1A3BCF9065D,2720,燃气锅炉,True,1
SRC-RAW-1F0EAE810E69B144EEDB,INDUSTRIAL,include,1130,exact_semantic_signature_order,1470,23,2022,CREDIT-C1A3BCF9065D,2720,燃气锅炉,True,1
SRC-RAW-78837D3F82B06E7C604A,INDUSTRIAL,include,1131,exact_semantic_signature_order,1471,21,2022,CREDIT-31E25626BA94,2720,燃气锅炉,True,6
SRC-RAW-39AE30A82EF6C3BBC395,INDUSTRIAL,include,1132,exact_semantic_signature_order,1472,22,2022,CREDIT-31E25626BA94,2720,燃气锅炉,True,6
SRC-RAW-4E4B934F078C9E6A9A89,INDUSTRIAL,include,1133,exact_semantic_signature_order,1473,23,2022,CREDIT-31E25626BA94,2720,燃气锅炉,True,6
SRC-RAW-4418267D856DE31E2B6D,INDUSTRIAL,include,1134,exact_semantic_signature_order,1474,24,2022,CREDIT-31E25626BA94,2720,燃气锅炉,True,6
SRC-RAW-C502171C08BD4E6F8342,INDUSTRIAL,include,1135,exact_semantic_signature_order,1475,25,2022,CREDIT-31E25626BA94,2720,燃气锅炉,True,6
SRC-RAW-366327ED94F516C0A0BE,INDUSTRIAL,include,1136,exact_semantic_signature_order,1476,21,2022,CREDIT-7906679AD7FA,1433,燃气锅炉,True,0
