workbook,target,sheet,role,pollutant,original_column,original_header,rows,source_numeric_cells,source_blank_cells,source_non_numeric_cells,export_numeric_cells,export_blank_cells,source_numeric_sum,export_numeric_sum,prior_export_numeric_sum,changed_values_from_prior_export,matched_cells,mismatched_cells,sum_equal
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,emission,BC,CS,BC（t）,4160,4160,0,0,4160,0,76.81907817215849248011,76.81907817215849248011,19.522628844686349937852,813,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,emission,OC,CT,OC（t）,4160,4160,0,0,4160,0,19.522628844686349937852,19.522628844686349937852,7098.6663670854563948011,4140,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,emission,VOC,CU,VOC（t）,4160,4160,0,0,4160,0,7098.6663670854563948011,7098.6663670854563948011,3746.48844981389744959701,4140,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/01_工业锅炉/04_既有专家主导型/结果/固定燃烧源-工业锅炉_调整.xlsx,INDUSTRIAL,用2022环统计算的结果,emission,NH3,CV,NH3（t）,4160,4160,0,0,4160,0,0,0.0,0.0,0,4160,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,SO2,CA,SO2（t）,426,426,0,0,426,0,1805901.764434095690417243,1805901.764434095690417243,1805901.764434095690417243,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,NOx,CB,NOx（t）,426,426,0,0,426,0,1280726.65935851777990356,1280726.65935851777990356,1280726.65935851777990356,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,CO,CC,CO（t）,426,426,0,0,426,0,371570.093290694556506339,371570.093290694556506339,371570.093290694556506339,0,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,PM10,CD,PM10（t）,426,426,0,0,426,0,4309249.723288352615864464,4309249.723288352615864464,1108806.245484273025965664,254,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,PM2.5,CE,PM2.5（t）,426,426,0,0,426,0,1108806.245484273025965664,1108806.245484273025965664,2226.96495132664029463237,426,426,0,True
实验结果/03_实验B_输入不变性与异常处置/01_B1整体输入扰动/00_B0原始输入/02_火电热力/04_既有专家主导型/结果/固定燃烧源-火电、热力生产与供应_调整.xlsx,POWER,火力、热力生产与供应（不包括生物质能发电）,generation,BC,CF,BC（t）,426,426,0,0,426,0,2226.96495132664029463237,2226.96495132664029463237,18.34844957065612779407,265,426,0,True
