parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
D-EP-CONVGAS-GASBOILER-SO2,电力热力源,电力生产,转炉煤气,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-VOCS,电力热力源,电力生产,转炉煤气,燃气锅炉,VOCS,constant,0.05,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-PM25,电力热力源,电力生产,转炉煤气,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-PM10,电力热力源,电力生产,转炉煤气,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-BC,电力热力源,电力生产,转炉煤气,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-CONVGAS-GASBOILER-OC,电力热力源,电力生产,转炉煤气,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-CO,电力热力源,电力生产,其它气体燃料,燃气锅炉,CO,constant,1.3,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-NOX,电力热力源,电力生产,其它气体燃料,燃气锅炉,NOX,constant,1.35,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-SO2,电力热力源,电力生产,其它气体燃料,燃气锅炉,SO2,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-VOCS,电力热力源,电力生产,其它气体燃料,燃气锅炉,VOCS,constant,0.02,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-PM25,电力热力源,电力生产,其它气体燃料,燃气锅炉,PM25,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-PM10,电力热力源,电力生产,其它气体燃料,燃气锅炉,PM10,constant,0.03,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-BC,电力热力源,电力生产,其它气体燃料,燃气锅炉,BC,constant,0,g/m3,,附录D 表D.1,43
D-EP-OTHFGAS-GASBOILER-OC,电力热力源,电力生产,其它气体燃料,燃气锅炉,OC,constant,0,g/m3,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-CO,电力热力源,电力生产,原油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-NOX,电力热力源,电力生产,原油,燃油锅炉,NOX,constant,7.24,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-SO2,电力热力源,电力生产,原油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-VOCS,电力热力源,电力生产,原油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-PM25,电力热力源,电力生产,原油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-PM10,电力热力源,电力生产,原油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-BC,电力热力源,电力生产,原油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-CRUDE-OILBOILER-OC,电力热力源,电力生产,原油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-CO,电力热力源,电力生产,汽油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-NOX,电力热力源,电力生产,汽油,燃油锅炉,NOX,constant,16.7,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-SO2,电力热力源,电力生产,汽油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-VOCS,电力热力源,电力生产,汽油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-PM25,电力热力源,电力生产,汽油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-PM10,电力热力源,电力生产,汽油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-BC,电力热力源,电力生产,汽油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-GASOLINE-OILBOILER-OC,电力热力源,电力生产,汽油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-CO,电力热力源,电力生产,煤油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-NOX,电力热力源,电力生产,煤油,燃油锅炉,NOX,constant,21.2,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-SO2,电力热力源,电力生产,煤油,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-VOCS,电力热力源,电力生产,煤油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-PM25,电力热力源,电力生产,煤油,燃油锅炉,PM25,constant,0.9,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-PM10,电力热力源,电力生产,煤油,燃油锅炉,PM10,constant,0.9,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-BC,电力热力源,电力生产,煤油,燃油锅炉,BC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-KEROSENE-OILBOILER-OC,电力热力源,电力生产,煤油,燃油锅炉,OC,constant,0.09,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-CO,电力热力源,电力生产,柴油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-NOX,电力热力源,电力生产,柴油,燃油锅炉,NOX,constant,7.4,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-SO2,电力热力源,电力生产,柴油,燃油锅炉,SO2,constant,3,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-VOCS,电力热力源,电力生产,柴油,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-PM25,电力热力源,电力生产,柴油,燃油锅炉,PM25,constant,0.5,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-PM10,电力热力源,电力生产,柴油,燃油锅炉,PM10,constant,0.5,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-BC,电力热力源,电力生产,柴油,燃油锅炉,BC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-DIESEL-OILBOILER-OC,电力热力源,电力生产,柴油,燃油锅炉,OC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-CO,电力热力源,电力生产,燃料油,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-NOX,电力热力源,电力生产,燃料油,燃油锅炉,NOX,constant,10.06,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-SO2,电力热力源,电力生产,燃料油,燃油锅炉,SO2,constant,20,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-VOCS,电力热力源,电力生产,燃料油,燃油锅炉,VOCS,constant,2.88,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-PM25,电力热力源,电力生产,燃料油,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-PM10,电力热力源,电力生产,燃料油,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-BC,电力热力源,电力生产,燃料油,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-FUELOIL-OILBOILER-OC,电力热力源,电力生产,燃料油,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-CO,电力热力源,电力生产,其它液体燃料,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-NOX,电力热力源,电力生产,其它液体燃料,燃油锅炉,NOX,constant,10.06,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-SO2,电力热力源,电力生产,其它液体燃料,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-VOCS,电力热力源,电力生产,其它液体燃料,燃油锅炉,VOCS,constant,0.13,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-PM25,电力热力源,电力生产,其它液体燃料,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-PM10,电力热力源,电力生产,其它液体燃料,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-BC,电力热力源,电力生产,其它液体燃料,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-OTHLIQ-OILBOILER-OC,电力热力源,电力生产,其它液体燃料,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-CO,电力热力源,电力生产,石油焦,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-NOX,电力热力源,电力生产,石油焦,燃油锅炉,NOX,constant,10.06,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-SO2,电力热力源,电力生产,石油焦,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-VOCS,电力热力源,电力生产,石油焦,燃油锅炉,VOCS,constant,33,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-PM25,电力热力源,电力生产,石油焦,燃油锅炉,PM25,constant,0.62,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-PM10,电力热力源,电力生产,石油焦,燃油锅炉,PM10,constant,0.85,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-BC,电力热力源,电力生产,石油焦,燃油锅炉,BC,constant,0.04,g/kg燃料,,附录D 表D.1,43
D-EP-PETCOKE-OILBOILER-OC,电力热力源,电力生产,石油焦,燃油锅炉,OC,constant,0.01,g/kg燃料,,附录D 表D.1,43
D-EP-OTHPET-OILBOILER-CO,电力热力源,电力生产,其它石油制品,燃油锅炉,CO,constant,0.6,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-NOX,电力热力源,电力生产,其它石油制品,燃油锅炉,NOX,constant,10.06,g/kg燃料,,附录D 表D.1,44
D-EP-OTHPET-OILBOILER-SO2,电力热力源,电力生产,其它石油制品,燃油锅炉,SO2,constant,0,g/kg燃料,,附录D 表D.1,44
