parameter_id,sector,department,fuel,combustion_technology,pollutant,mode,value,unit,capacity_condition,source_section,physical_pdf_page
E-MM-NG-GASBOILER-OC,工业源,采矿业和制造业,天然气,燃气锅炉,OC,constant,0,g/m3,,附录E 表E.7；气体单位按外部一致性解释,54
E-MM-LNG-GASBOILER-CO,工业源,采矿业和制造业,液化天然气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-NOX,工业源,采矿业和制造业,液化天然气,燃气锅炉,NOX,constant,2.63,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-SO2,工业源,采矿业和制造业,液化天然气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-VOCS,工业源,采矿业和制造业,液化天然气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-PM25,工业源,采矿业和制造业,液化天然气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-PM10,工业源,采矿业和制造业,液化天然气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-BC,工业源,采矿业和制造业,液化天然气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录E 表E.7,54
E-MM-LNG-GASBOILER-OC,工业源,采矿业和制造业,液化天然气,燃气锅炉,OC,constant,0.05,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-CO,工业源,采矿业和制造业,液化石油气,燃气锅炉,CO,constant,0.36,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-NOX,工业源,采矿业和制造业,液化石油气,燃气锅炉,NOX,constant,2.63,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-SO2,工业源,采矿业和制造业,液化石油气,燃气锅炉,SO2,constant,0,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-VOCS,工业源,采矿业和制造业,液化石油气,燃气锅炉,VOCS,constant,33,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-PM25,工业源,采矿业和制造业,液化石油气,燃气锅炉,PM25,constant,0.17,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-PM10,工业源,采矿业和制造业,液化石油气,燃气锅炉,PM10,constant,0.17,g/kg燃料,,附录E 表E.7,54
E-MM-LPG-GASBOILER-BC,工业源,采矿业和制造业,液化石油气,燃气锅炉,BC,constant,0.02,g/kg燃料,,附录E 表E.7,54
