源编号,源类,年份,行业代码,行业名称,设备类型,排口编号,核算项数,分类理由
SRC-RAW-CDE371BB8A624BDEF041,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA003,17,[]
SRC-RAW-7F8E4BAAF4CFD42E5AC1,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA002,17,[]
SRC-RAW-0F78070620303CB1FC66,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA004,17,[]
SRC-RAW-08B2C44FC36AD162FE1C,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA005,17,[]
SRC-RAW-4A9E2175DBCF0E0E0ABA,工业锅炉,2022,1499,其他未列明食品制造,燃气锅炉,DA001,9,[]
SRC-RAW-F8626FE535EFA21AF9BD,工业锅炉,2022,1779,其他家用纺织制成品制造,燃油锅炉,DA001,9,[]
SRC-RAW-E24C304E88061960C228,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-1F3715E00926D5B73FE2,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-D50AE6E6E9398B33F82A,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-299422AFAEF6502B69CA,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-B38F012F09F732E5FE4F,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-7ED9A502BB20460932A2,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-1FE9390AB19C341D5C2A,工业锅炉,2022,3971,电子真空器件制造,燃气锅炉,DA001,9,[]
SRC-RAW-105242BB323985ABB081,工业锅炉,2022,2921,塑料薄膜制造,燃气锅炉,DA005,9,[]
SRC-RAW-565B6B41BC908B0B7EDC,火电热力,2022,4411,火力发电,燃气轮机,DA002,9,[]
SRC-RAW-AF8FE584303AB198DDED,火电热力,2022,4411,火力发电,燃气轮机,DA003,9,[]
SRC-RAW-F0371188AC825A39BE2D,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-B8510A104767F52727BA,火电热力,2022,4412,热电联产,燃煤锅炉,DA001,9,[]
SRC-RAW-9AFF69BBAFECE52DAA67,火电热力,2022,4412,热电联产,燃煤锅炉,DA001,9,[]
SRC-RAW-F46B43F517F0E17A0B11,工业锅炉,2022,2762,基因工程药物和疫苗制造,燃气锅炉,DA001,9,[]
SRC-RAW-B567E61290BDEF590E9C,工业锅炉,2022,2682,化妆品制造,燃气锅炉,DA001,9,[]
SRC-RAW-F00AB193594FF6AD2DF4,工业锅炉,2022,2682,化妆品制造,燃气锅炉,DA001,9,[]
SRC-RAW-151442F52F3793299450,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA001,9,[]
SRC-RAW-13B7FAA548A4568DB8AA,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA011,9,[]
SRC-RAW-A3283FAE1DFFCE2CE61D,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA012,9,[]
SRC-RAW-DF6B46F9B986212241D0,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA002,9,[]
SRC-RAW-3D0BE46431E9CDC410C1,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA003,9,[]
SRC-RAW-48E7300B7D9AAC424043,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA004,9,[]
SRC-RAW-EF92558CC7D18BEB8A1E,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA005,9,[]
SRC-RAW-EE3D1D8DCB1D25336809,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA006,9,[]
SRC-RAW-0249A5BFBA1950F087DA,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA007,9,[]
SRC-RAW-3A71FBF7152CB528F578,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA008,9,[]
SRC-RAW-A2CDC215BF83122A3A9B,火电热力,2022,4417,生物质能发电,燃生物质锅炉,DA010,9,[]
SRC-RAW-B4BC1019B13822BA6B72,火电热力,2022,4412,热电联产,燃气锅炉,DA002,9,[]
SRC-RAW-5238E12257269D82DD85,工业锅炉,2022,3990,其他电子设备制造,燃气锅炉,DA008,9,[]
SRC-RAW-8E1D0671FFF85D4A6318,工业锅炉,2022,3990,其他电子设备制造,燃气锅炉,DA008,9,[]
SRC-RAW-71799BC3A9508FFDCDC0,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-0282ADDBE4497695C9AD,工业锅炉,2022,1521,碳酸饮料制造,燃气锅炉,DA001,9,[]
SRC-RAW-291BF573E1739C0BC3C5,工业锅炉,2022,1521,碳酸饮料制造,燃气锅炉,DA001,9,[]
SRC-RAW-308A0403BAB78A56EA33,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA005,9,[]
SRC-RAW-A6848C74FC65EE489B9D,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-0ACB0DE8BF041F9ACDD5,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-91701A54C6EFDC3CFC13,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-7A069FAAB665D491EF11,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-D53E856DB7171639CBBF,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-10C601149B4B00D90918,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-1987D19CF6A1652B3042,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA002,9,[]
SRC-RAW-E8DE6FFAEC1E7854E05D,工业锅炉,2022,1781,非织造布制造,燃气锅炉,DA008,9,[]
SRC-RAW-84B8E79CDB1AD6C9CEBC,工业锅炉,2022,1781,非织造布制造,燃气锅炉,DA009,9,[]
SRC-RAW-1720BA3CBD730F2A79B9,范围外,2022,1781,非织造布制造,,DA010,0,[]
SRC-RAW-5385BF8648A32B3653FE,工业锅炉,2022,2511,原油加工及石油制品制造,燃气锅炉,DA001,9,[]
SRC-RAW-4742C738BE849F00A30F,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA005,9,[]
SRC-RAW-B41599458F9735478A75,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA001,9,[]
SRC-RAW-AC8AB8AC121C5B699C08,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA001,9,[]
SRC-RAW-6A368D9E616A355106AA,范围外,2022,3985,电子专用材料制造,,DA002,0,[]
SRC-RAW-D6B50819994143B9FCCE,范围外,2022,3985,电子专用材料制造,,DA002,0,[]
SRC-RAW-D6D745C27A4594BA69B2,范围外,2022,3985,电子专用材料制造,,DA002,0,[]
SRC-RAW-C1418AE4986BBF09B169,范围外,2022,3985,电子专用材料制造,,DA001,0,[]
SRC-RAW-F5FE93E4A6BC51C04FF2,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA005,9,[]
SRC-RAW-28530B69F070A91BFE81,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA005,9,[]
SRC-RAW-383540947304FD6D3F5B,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA004,9,[]
SRC-RAW-8479E32CEAABC263D59F,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA004,9,[]
SRC-RAW-08398D94843DC74C86F1,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA004,9,[]
SRC-RAW-E04B90EC27888B456DA0,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA003,9,[]
SRC-RAW-DDAA68662DD7E610E205,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA003,9,[]
SRC-RAW-939CC01627B574D991C4,工业锅炉,2022,3985,电子专用材料制造,燃气锅炉,DA001,9,[]
SRC-RAW-11399DEA50E5941560F1,工业锅炉,2022,2689,其他日用化学产品制造,燃气锅炉,DA002,9,[]
SRC-RAW-22420C7233215EBDD1C0,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-00B3E5775BFA2C4EC324,工业锅炉,2022,2740,中成药生产,燃气锅炉,DA001,9,[]
SRC-RAW-F0A989B7CD819439D7DD,工业锅炉,2022,3990,其他电子设备制造,燃气锅炉,DA010,9,[]
SRC-RAW-BE6A4D857D77E1F9E786,工业锅炉,2022,3990,其他电子设备制造,燃气锅炉,DA010,9,[]
SRC-RAW-46902E51A5AB2739DF5C,工业锅炉,2022,1495,食品及饲料添加剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-81C271000D40F188D3C2,工业锅炉,2022,1399,其他未列明农副食品加工,燃气锅炉,DA001,9,[]
SRC-RAW-892FFB8F931A692ED8E8,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-E7ED3970081AD667EBE2,工业锅炉,2022,2720,化学药品制剂制造,燃气锅炉,DA001,9,[]
SRC-RAW-7FA2B46F6A90DECBB722,工业锅炉,2022,2682,化妆品制造,燃气锅炉,DA001,9,[]
SRC-RAW-E012C40BCD2A49BE820E,工业锅炉,2022,2669,其他专用化学产品制造,燃气锅炉,DA001,9,[]
SRC-RAW-431F0D01FFE9B65F6868,工业锅炉,2022,2669,其他专用化学产品制造,燃油锅炉,DA001,9,[]
SRC-RAW-6D248ED745AC1FCD8CA2,工业锅炉,2022,3611,汽柴油车整车制造,燃气锅炉,DA083,9,[]
SRC-RAW-F89F40B64DF2F0AADAAE,工业锅炉,2022,3611,汽柴油车整车制造,燃气锅炉,DA083,9,[]
SRC-RAW-BA4CF56C1FBA1D9FB8D9,工业锅炉,2022,3611,汽柴油车整车制造,燃气锅炉,DA083,9,[]
SRC-RAW-AA3A22068EEC486B06F9,工业锅炉,2022,3611,汽柴油车整车制造,燃气锅炉,DA082,9,[]
SRC-RAW-6F566A27ACF9713A29D7,工业锅炉,2022,3611,汽柴油车整车制造,燃气锅炉,DA082,9,[]
SRC-RAW-568ECBFD3F74B609B4D5,工业锅炉,2022,2684,香料、香精制造,燃气锅炉,DA001,9,[]
SRC-RAW-DAE4AD618B6853442448,工业锅炉,2022,2684,香料、香精制造,燃气锅炉,DA001,9,[]
