experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings,结果用途
B,B-S4-IND-FULL,full,INDUSTRIAL,S4,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110573,110573,2588,,,4046,0.02233177487025092,pass,[],[],机器实验结果
B,B-S4-IND-DET,deterministic_program,INDUSTRIAL,S4,100,1,0.0,0.0,0.0,0.11945154543341854,0.0,0.0,0.0,0,110573,2588,,,4046,0.0001436482224406493,not_applicable,[],[],机器实验结果
B,B-S4-IND-HUM,expert_led,INDUSTRIAL,S4,100,,0.4789636027143738,0.9579272054287477,0.0,0.0,,0.31906614785992216,0.8600607089571436,66868,77748,37708,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-S4-POW-GEN,generic_tool_agent,POWER,S4,100,1,0.1714439042868868,0.3428878085737736,0.0,0.5910652920962199,0.0012919896640826872,0.9534883720930233,0.1606766730242972,9688,60295,4430,,,615,2.5074075622634577,pass,[],[],机器实验结果
B,B-S4-POW-DET,deterministic_program,POWER,S4,100,1,0.0,0.0,0.0,0.5910652920962199,0.0,0.0,0.0,0,12532,4430,,,615,0.0009350474260376418,not_applicable,[],[],机器实验结果
B,B-S4-POW-FULL,full,POWER,S4,100,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12532,12532,4430,,,615,0.12503653922765628,pass,[],[],机器实验结果
B,B-S4-POW-HUM,expert_led,POWER,S4,100,,0.41539894442719655,0.8307978888543931,0.0,0.0,,0.011627906976744186,0.4043536890772491,4198,10382,7750,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-B2-IND-DET,deterministic_program,INDUSTRIAL,B2,100,1,0.44916571471375866,0.8983314294275173,0.0,0.5489130434782609,0.0,0.38202247191011235,0.8676778195318513,95822,110435,2716,,,4046,0.002115693740733497,not_applicable,[],[],机器实验结果
B,B-B2-IND-GEN,generic_tool_agent,INDUSTRIAL,B2,100,1,0.2838583989745154,0.5639993258300717,0.0037174721189591076,0.022058823529411763,0.3333333333333333,0.352059925093633,0.4894713279243475,62319,127319,2716,,,4046,0.2964178141579199,pass,[],[],机器实验结果
B,B-B2-IND-FULL,full,INDUSTRIAL,B2,100,1,0.9850187265917603,1.0,0.9700374531835206,1.0,0.9700374531835206,1.0,1.0,110435,110435,2716,,,4046,0.022318976015316114,pass,[],[],机器实验结果
B,B-B2-IND-HUM,expert_led,INDUSTRIAL,B2,100,,0.4785714285714286,0.9571428571428572,0.0,0.014492753623188406,0.0,0.30711610486891383,0.8588330715554755,66709,77674,37772,,,4046,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
B,B-B2-POW-GEN,generic_tool_agent,POWER,B2,100,1,0.1749642690898124,0.34351828176936844,0.00641025641025641,0.8248587570621468,0.0136986301369863,0.4626865671641791,0.17028244642827456,10243,60153,4562,,,615,1.6529572810975803,pass,[],[],机器实验结果
B,B-B2-POW-FULL,full,POWER,B2,100,1,0.9850746268656716,1.0,0.9701492537313433,1.0,0.9713930348258707,1.0,1.0,12390,12390,4562,,,615,0.10631407933656081,pass,[],[],机器实验结果
B,B-B2-POW-DET,deterministic_program,POWER,B2,100,1,0.43908207619534645,0.8781641523906929,0.0,0.8583509513742072,0.0,0.458955223880597,0.8174334140435835,10128,12390,4562,,,615,0.012807004878058938,not_applicable,[],[],机器实验结果
B,B-B2-POW-HUM,expert_led,POWER,B2,100,,0.41981869334166927,0.8396373866833385,0.0,0.014440433212996389,0.0,0.018656716417910446,0.4143217543178731,4270,10306,7816,,,615,11.52,not_applicable,[],[],人工旧交付观察；当前扰动任务交付待补充
C,C-25-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,25,1,0.29688313620471624,0.5937662724094325,0.0,0.06666666666666667,0.5,0.08771929824561403,0.8492965271593945,23844,28075,610,,,1014,1.3226159164615787,pass,[],[],机器实验结果
C,C-25-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,25,1,0.4500111582236108,0.9000223164472216,0.0,0.5384615384615384,0.0,0.3684210526315789,0.869302007134878,24124,27751,610,,,1014,0.0009993178421733404,not_applicable,[],[],机器实验结果
C,C-25-IND-FULL-R1,full,INDUSTRIAL,B0,25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27751,27751,610,,,1014,0.05778533822286937,pass,[],[],机器实验结果
C,C-25-POW-FULL-R1,full,POWER,B0,25,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2804,2804,1186,,,145,0.4155156520139105,pass,[],[],机器实验结果
C,C-25-POW-DET-R1,deterministic_program,POWER,B0,25,1,0.44047291723948306,0.8809458344789661,0.0,0.888888888888889,0.0,0.5538461538461539,0.8174037089871612,2292,2804,1186,,,145,0.0062908270139375635,not_applicable,[],[],机器实验结果
C,C-25-POW-GEN-R1,generic_tool_agent,POWER,B0,25,1,0.1528732471817432,0.3057464943634864,0.0,0.6190476190476191,0.0,0.9692307692307692,0.13690315619099003,2030,14828,1186,,,145,8.005956987358614,pass,[],[],机器实验结果
C,C-50-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,50,1,0.30418236764541284,0.6083647352908257,0.0,0.0,,0.3937007874015748,0.794377283346661,50663,63777,1302,,,2026,0.5285520504481828,pass,[],[],机器实验结果
C,C-50-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,50,1,0.4492314293176137,0.8984628586352273,0.0,0.5402298850574713,0.0,0.36220472440944884,0.8680141613381019,48055,55362,1302,,,2026,0.0009021785745233102,not_applicable,[],[],机器实验结果
C,C-50-IND-FULL-R1,full,INDUSTRIAL,B0,50,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55362,55362,1302,,,2026,0.03097958833068611,pass,[],[],机器实验结果
C,C-50-POW-DET-R1,deterministic_program,POWER,B0,50,1,0.438862440491105,0.87772488098221,0.0,0.8750000000000001,0.0,0.496,0.8198856416772554,5162,6296,2200,,,308,0.0048627571689264315,not_applicable,[],[],机器实验结果
C,C-50-POW-FULL-R1,full,POWER,B0,50,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6296,6296,2200,,,308,0.18730223769161022,pass,[],[],机器实验结果
C,C-50-POW-GEN-R1,generic_tool_agent,POWER,B0,50,1,0.14075419694312202,0.28150839388624405,0.0,0.05839416058394161,0.08333333333333333,0.976,0.11158983196897888,3367,30173,2200,,,308,3.7697238664773245,pass,[],[],机器实验结果
C,C-75-IND-DET-R1,deterministic_program,INDUSTRIAL,B0,75,1,0.4488868610857636,0.8977737221715272,0.0,0.5393258426966292,0.0,0.37435897435897436,0.8676689364893141,71738,82679,1980,,,3027,0.0008178280340261489,not_applicable,[],[],机器实验结果
C,C-75-IND-FULL-R1,full,INDUSTRIAL,B0,75,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82679,82679,1980,,,3027,0.025152501348866967,pass,[],[],机器实验结果
C,C-75-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,75,1,0.3079225990324879,0.6158451980649758,0.0,0.04926108374384236,0.0,0.49230769230769234,0.8159389607395141,77852,95414,1980,,,3027,0.37618144553188626,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[],机器实验结果
C,C-75-POW-DET-R1,deterministic_program,POWER,B0,75,1,0.4380842087848457,0.8761684175696914,0.0,0.8670520231213873,0.0,0.47692307692307695,0.8189753715057674,7881,9623,3342,,,470,0.0043222537233266346,not_applicable,[],[],机器实验结果
C,C-75-POW-FULL-R1,full,POWER,B0,75,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9623,9623,3342,,,470,0.13463294175540177,pass,[],[],机器实验结果
C,C-75-POW-GEN-R1,generic_tool_agent,POWER,B0,75,1,0.22571828383930292,0.36810323434527253,0.08333333333333333,0.7425968109339407,0.1523517382413088,0.8307692307692308,0.18628639439289413,8452,45371,3342,,,470,2.430110282004325,pass,[],[],机器实验结果
C,C-100-IND-GEN-R1,generic_tool_agent,INDUSTRIAL,B0,100,1,0.22643846855755456,0.44898588653145155,0.0038910505836575876,0.030651340996168584,0.25,0.19066147859922178,0.3997178732233804,48738,121931,2588,,,4046,0.28216062670958747,pass,[],[],机器实验结果
